settlement_id,reported_reference,reported_amount,initiated_at,status
setl_uTaUUZqpzsQSx8,RATN27006450969,143910.05,2027-01-06,processed
setl_S8wDoZwNtFYpR9,RATN27013450721,805874.62,2027-01-13,processed
setl_jUv11RiVotdNEN,RATN27021450875,575459.35,2027-01-20,processed
setl_t46ImbsRVaFhSp,RATN27027450831,566352.16,2027-01-27,processed
setl_e9pkZTzfsG5VYi,,400301.76,2027-02-03,processed
setl_55szR4QACTCwEm,RATN27041450736,555584.10,2027-02-10,processed
setl_PVMWep0ZXbEtrO,RATN27049450860,578416.82,2027-02-17,processed
setl_k2zFaz8OwP0AEe,RATN27056450967,402418.03,2027-02-24,processed
setl_GIspepmcWDTtad,RATN27063450992,655860.91,2027-03-03,processed
setl_H48hscSij95LDH,RATN27070451018,545487.00,2027-03-10,processed
setl_CsqHRZdBVZTAau,RATN27077451055,593261.09,2027-03-17,processed
setl_9t751dxZ0jEjNC,RATN27083451067,485836.84,2027-03-24,processed
