bank_reference,value_date,narration,amount
RATN27006450701,2027-01-06,RTGS-CR-RATN27006450701-RAZORPAY SOFTWARE PRIVATE LIMITED,143910.05
RATN27013450721,2027-01-13,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27013450721,806497.70
RATN27020450726,2027-01-20,RTGS-CR-RATN27020450726-RAZORPA,575459.35
RATN27025450763,2027-01-25,CHG:NEFT OUTWARD RATN27025450763,-6612.15
RATN27027450771,2027-01-27,NEFT CR RATN27027450771 RAZORPAY SOFTWARE PRIVATE LIMITED,566352.16
RATN27032450811,2027-02-01,IMPS/RATN********/RAZORPAY SOFTWARE,31954.50
RATN27032450851,2027-02-01,NEFT RET RATN27032450851 - ACCOUNT CLOSED,-8319.85
RATN27035450878,2027-02-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27035450878,27889.66
,2027-02-05,RTGS-CR-RATN27036450880-RAZOR,400301.76
RATN27041450883,2027-02-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27041450883,24216.84
RATN27042450908,2027-02-11,RTGS-CR-RATN27042450908-RAZORPAY SOFTWARE,555584.10
RATN27048450921,2027-02-17,IMPS/RATN27048450921/RAZORPAY SOFTWARE,578416.82
RATN27049450952,2027-02-18,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RATN27049450952,-8953.14
RATN27056450953,2027-02-25,NEFT CR RATN27056450953 ARCLIGHT SYSTEMS,33394.56
RATN27056450967,2027-02-25,NEFT CR RATN27056450967 RAZORPAYSOFTWAREP,402418.03
RATN27063450992,2027-03-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27063450992,655860.91
RATN27070451010,2027-03-11,NEFT CR RATN27070451010 RAZORPAY SOFTWARE PRIVATE LIMITED,545487.00
RATN27074451019,2027-03-15,NEFT-DR-RATN0000088-RAZORPAYSOFTWAREP-RATN27074451019,-545487.00
RATN27077451055,2027-03-18,RTGS-CR-RATN27077451055-RAZORPAYSOFTWAREP,593261.09
RATN27083451067,2027-03-24,RTGS-CR-RATN27083451067-RAZORPAY SOFTWARE,485836.84
