settlement_id,reported_reference,reported_amount,initiated_at,status
setl_tYqn1bMTfN84UT,RATN27006427472,6346.60,2027-01-06,processed
setl_igkKlAiC79ERI6,,580011.39,2027-01-13,processed
setl_DaCT0AekN1zOVp,RATN27021427612,257471.36,2027-01-20,processed
setl_7EcZ0eft4OAnVN,RATN27028427648,345442.31,2027-01-27,processed
setl_L81MdOxF8ZLMDf,RATN27036427686,1024718.98,2027-02-03,processed
setl_qX7ejBHLQV4uEe,RATN27042427698,228095.73,2027-02-10,processed
setl_pHa4xbq3Ay8x83,RATN27048427737,573926.23,2027-02-17,processed
setl_SpsPutZ4KOlG44,RATN27055427776,570324.07,2027-02-24,processed
setl_Cb7R66ZTdCzN4n,RATN27062427787,422218.25,2027-03-03,processed
setl_JnLhyIinFKNbS6,RATN27070427818,448198.67,2027-03-10,processed
setl_stbrX63osiaGZ3,RATN27081427846,447600.69,2027-03-17,processed
setl_VR2iLnvQcQChPr,RATN27088427898,386988.93,2027-03-24,processed
