bank_reference,value_date,narration,amount
RATN27006427472,2027-01-06,IMPS/RATN27006427472/RAZORPAY SOFTWARE PVT LTD,6346.60
RATN27008427494,2027-01-08,NEFT RET RATN27008427494 - ACCOUNT CLOSED,-5054.83
RATN27011427526,2027-01-11,CHG:NEFT OUTWARD RATN27011427526,-6346.60
,2027-01-14,NEFT-CR-RATN0000088-RAZORPAY SO,580240.38
RATN27018427566,2027-01-18,NEFT CR RATN27018427566 RAZORPAY SOFTWARE PRIVATE LIMITED,7186.87
RATN27019427574,2027-01-19,NEFT CR RATN27019427574 CLOVERLEAF FOODS PVT LTD,20076.38
RATN27021427612,2027-01-21,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,257471.36
RATN27028427648,2027-01-28,RTGS-CR-RATN27028427648-RAZORPAY SOFTWARE PRIVATE LIMITED,345442.31
RATN27032427649,2027-02-01,NEFT CR RATN27032427649 ARCLIGHT SYSTEMS,36685.32
RATN27036427686,2027-02-05,IMPS/RATN********/RAZORPAY SOFTWARE,1024718.98
RATN27042427698,2027-02-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27042427698,228095.73
RATN27048427737,2027-02-17,IMPS/RATN27048427737/RAZORPAY SOFTWARE PVT LTD,573926.23
RATN27055427763,2027-02-24,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27055427763,-7000.77
RATN27055427776,2027-02-24,RTGS-CR-RATN27055427776-RAZ,570324.07
RATN27062427787,2027-03-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,422218.25
RATN27070427818,2027-03-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27070427818,448198.67
RATN27081427846,2027-03-22,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,447600.69
RATN27088427868,2027-03-29,NEFT CR RATN27088427868 RAZORPAYSOFTWAREP,13562.56
RATN27088427879,2027-03-29,CHG:NEFT OUTWARD RATN27088427879,-4439.37
RATN27088427898,2027-03-29,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27088427898,386988.93
