bank_reference,value_date,narration,amount
RATN27011879894,2027-01-11,RTGS-CR-RATN27011879894-RAZORPAYSOFTWAREP,49756.44
RATN27013879910,2027-01-13,NEFT RET RATN27013879910 - ACCOUNT CLOSED,-49756.44
RATN27013879926,2027-01-13,RTGS-CR-RATN27013879926-RAZORPAY SOFTWARE PRIVATE LIMITED,610476.11
RATN27014879936,2027-01-14,RTGS-CR-RATN27014879936-RAZORPAY SOFTWARE PVT LTD,34055.17
RATN27022879948,2027-01-22,IMPS/RATN27022879948/RAZORPAYSOFTWAREP,462264.39
RATN27027879974,2027-01-27,NEFT CR RATN27027879974 RAZORPAYSOFTWAREP,803165.96
RATN27032879978,2027-02-01,NEFT RET RATN******** - ACCOUNT CLOSED,-2792.65
RATN27034880010,2027-02-03,RTGS-CR-RATN27034880010-RAZORPAY SOFTWARE PVT LTD,374354.33
RATN27041880021,2027-02-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,14379.95
RATN27041880026,2027-02-10,CHG:NEFT OUTWARD RATN27041880026,-2142.64
RATN27041880030,2027-02-10,NEFT CR RATN27041880030 RAZORPAY SOFTWARE PRIVATE LIMITED,593631.80
,2027-02-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN********,517684.87
RATN27053880067,2027-02-22,NEFT RET RATN27053880067 - ACCOUNT CLOSED,-6851.22
RATN27055880091,2027-02-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27055880091,451632.90
RATN27057880101,2027-02-26,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27057880101,18643.54
RATN27062880136,2027-03-03,IMPS/RATN27062880136/RAZORPAYSOFTWAREP,348406.43
RATN27069880155,2027-03-10,NEFT-CR-RATN0000088-TOLLGATE MEDIA PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27069880155,2265.50
RATN27070880162,2027-03-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,400516.76
RATN27076880183,2027-03-17,IMPS/RATN27076880183/RAZORPAY SOFTWARE PVT LTD,525798.51
RATN27085880194,2027-03-26,NEFT CR RATN27085880194 RAZORPAYSOFTWAREP,470566.80
