settlement_id,reported_reference,reported_amount,initiated_at,status
setl_vVR6u1MJbVwOHD,RATN27011879894,49756.44,2027-01-06,processed
setl_tikcUKQLIAqXUS,RATN27013879926,610476.11,2027-01-13,processed
setl_mTvXcpg7D0hibM,RATN27022879948,462264.39,2027-01-20,processed
setl_NGpZIrfRjzgN6O,RATN27027879974,803165.96,2027-01-27,processed
setl_FUDU07fVaANOwq,RATN27034880010,374354.33,2027-02-03,processed
setl_HCpKuFJiyna8Tj,RATN27041880030,593631.80,2027-02-10,processed
setl_LnYzYdGpPClstK,,517684.87,2027-02-17,processed
setl_BRPAWdOjaYHTzd,RATN27055880091,451845.74,2027-02-24,processed
setl_BRvPzVuO6IFJka,RATN27062880136,348406.43,2027-03-03,processed
setl_TFWzEuSLeONQp6,RATN27070880162,400516.76,2027-03-10,processed
setl_5N9YYRh5cMFxo2,RATN27076880183,525798.51,2027-03-17,processed
setl_rWiShEyFp2r6zG,RATN27085880194,470566.80,2027-03-24,processed
