bank_reference,value_date,narration,amount
RATN27006363731,2027-01-06,RTGS-CR-RATN27006363731-RAZORPAY SOFTWARE PVT LTD,217029.43
RATN27008363758,2027-01-08,NEFT-DR-RATN0000088-RAZORPAYSOFTWAREP-RATN27008363758,-217029.43
RATN27013363792,2027-01-13,RTGS-CR-RATN27013363792-RAZORPAYSOFTWAREP,750462.39
RATN27014363801,2027-01-14,NEFT-CR-RATN0000088-NIMBUS LOGISTICS LLP,29051.00
RATN27020363816,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,693299.30
RATN27028363835,2027-01-28,IMPS/RATN27028363835/RAZORPAY SOFTWARE PRIVATE LIMITED,739012.31
,2027-02-05,CHG:NEFT OUTWARD RATN********,-2862.51
RATN27036363901,2027-02-05,RTGS-CR-RATN27036363901-RAZORPAYSOFTWAREP,336901.26
RATN27039363902,2027-02-08,CHG:NEFT OUTWARD RATN27039363902,-3363.19
RATN27041363910,2027-02-10,RTGS-CR-RATN27041363910-RAZORPAY SOFTWARE PRIVATE LIMITED,391071.69
RATN27048363915,2027-02-17,NEFT CR RATN27048363915 RAZORPAYSOFTWAREP,37287.40
RATN27048363920,2027-02-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN********,457495.70
RATN27056363956,2027-02-25,NEFT CR RATN27056363956 RAZORPAY SOFTWARE PVT LTD,459409.43
RATN27060363979,2027-03-01,RTGS-CR-RATN27060363979-R,12292.33
RATN27062364011,2027-03-03,IMPS/RATN27062364011/RAZORPAY SOFTWARE PRIVATE LIMITED,625236.91
RATN27069364048,2027-03-10,IMPS/RATN27069364048/RAZORPAYSOFTWAREP,569725.26
RATN27070364067,2027-03-11,CHG:NEFT OUTWARD RATN27070364067,-2297.78
RATN27076364084,2027-03-17,NEFT CR RATN27076364084 RAZORPAY SOFTWARE,775062.01
RATN27081364103,2027-03-22,NEFT-CR-RATN0000088-TOLLGATE MEDIA PVT LTD,24434.40
RATN27083364105,2027-03-24,IMPS/RATN27083364105/RAZORPAY SOFTWARE,507865.37
