settlement_id,reported_reference,reported_amount,initiated_at,status
setl_GQdsfGIomIEOMK,RATN27007793254,47010.72,2027-01-06,processed
setl_O3KRKP0K8Rtroq,RATN27013793322,190484.58,2027-01-13,processed
setl_lZ2F5L3FvIAnGb,RATN27022793379,206860.72,2027-01-20,processed
setl_UxtrPFdUiSnWXY,RATN27028793455,341389.06,2027-01-27,processed
setl_EVSg49ZUBzT42i,RATN27035793465,316641.85,2027-02-03,processed
setl_XQquZJOqntZKJ4,RATN27043793482,329693.09,2027-02-10,processed
setl_IxJF2G7NFv8URF,RATN27048793566,100945.08,2027-02-17,processed
setl_Jsh29ZexThviK2,RATN27060793590,359512.52,2027-02-24,processed
setl_XFEg5m0IVEBfAs,RATN27063793596,182873.16,2027-03-03,processed
setl_NszXvKP2GJtbC4,RATN27069793618,237001.63,2027-03-10,processed
setl_9oxKLtVsDI4HPn,RATN27077793625,110501.85,2027-03-17,processed
setl_Ob35luUVZn6lnb,RATN27084793681,275192.60,2027-03-24,processed
