settlement_id,reported_reference,reported_amount,initiated_at,status
setl_YPUYrvCEOAsQNB,RATN27008407225,45237.05,2027-01-06,processed
setl_pA5dfYfT6J8Gd1,RATN27014407240,406824.79,2027-01-13,processed
setl_8pUrSX5xm6ScoD,RATN27020407258,50825.79,2027-01-20,processed
setl_zQ1H51mGXgGd02,RATN27027407312,136120.85,2027-01-27,processed
setl_Srg0wppgphJUYU,RATN27036407387,261467.78,2027-02-03,processed
setl_lNrYKrl4K7aF5h,RATN27042407427,152685.23,2027-02-10,processed
setl_d3VJPsySysGbjV,RATN27048407449,232030.20,2027-02-17,processed
setl_uNGpBZVtx8tJXw,RATN27057407481,328861.17,2027-02-24,processed
setl_Op5QJ6CMF1Edmq,RATN27063407501,268346.51,2027-03-03,processed
setl_9sqeKuzw4Hp3N2,RATN27070407514,521163.00,2027-03-10,processed
setl_E9FaIjGmBz6j05,RATN27077407553,239697.46,2027-03-17,processed
setl_lwk5mTojO8OO3E,RATN27083407607,298535.12,2027-03-24,processed
