bank_reference,value_date,narration,amount
RATN27008407225,2027-01-08,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27008407225,45237.05
RATN27013407238,2027-01-13,CHG:NEFT OUTWARD RATN27013407238,-3502.16
RATN27014407240,2027-01-14,NEFT CR RATN27014407240 RAZORPAY SOFTWARE PVT LTD,406824.79
RATN27018407241,2027-01-18,NEFT CR RATN27018407241 RAZORPAY SOFTWARE PVT LTD,32030.71
RATN27020407258,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,50825.79
,2027-01-25,NEFT RET RATN27025407279 - ,-2532.21
RATN27027407312,2027-01-27,NEFT CR RATN27027407312 RAZORPAY SOFTWARE,136120.85
RATN27029407352,2027-01-29,RTGS-CR-RATN27029407352-VERTEX SUPPLY CO,19397.85
RATN27034407385,2027-02-03,NEFT-CR-RATN0000088-CLG,11336.54
RATN27036407387,2027-02-05,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,261467.78
RATN27042407427,2027-02-11,NEFT CR RATN27042407427 RAZORPAY SOFTWARE PRIVATE LIMITED,152685.23
RATN27048407449,2027-02-17,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27048407449,232030.20
RATN27057407481,2027-02-26,RTGS-CR-RATN27057407481-RAZORPAY SOFTWARE PRIVATE LIMITED,328861.17
RATN27060407499,2027-03-01,NEFT RET RATN27060407499 - ACCOUNT CLOSED,-328861.17
RATN27063407501,2027-03-04,NEFT CR RATN******** RAZORPAY SOFTWARE,268346.51
RATN27070407514,2027-03-11,NEFT CR RATN27070407514 RAZORPAYSOFTWAREP,521163.00
RATN27077407553,2027-03-18,NEFT CR RATN27077407553 RAZORPAYSOFTWAREP,239697.46
RATN27078407577,2027-03-19,CHG:NEFT OUTWARD RATN27078407577,-7654.72
RATN27082407586,2027-03-23,NEFT-CR-RATN0000088-TOLLGATE MEDIA PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27082407586,4579.63
RATN27083407607,2027-03-24,NEFT CR RATN27083407607 RAZORPAY SOFTWARE,299319.44
