settlement_id,reported_reference,reported_amount,initiated_at,status
setl_3XDSdIhVtpYs2i,RATN27006653315,7612.99,2027-01-06,processed
setl_y9wISvejM0nJCd,RATN27013653320,99392.50,2027-01-13,processed
setl_lgpYzvgf7SkWg1,RATN27025653335,35052.82,2027-01-20,processed
setl_8uibWtoHF6g8jM,RATN27029653361,92775.28,2027-01-27,processed
setl_haknQiWidJU5ws,RATN27039653486,92881.15,2027-02-03,processed
setl_Sir2a0JLqsBAuH,RATN27042653520,119643.89,2027-02-10,processed
setl_4nieA6eGimB7Gl,RATN27050653534,214228.78,2027-02-17,processed
setl_TRibfu7gOaes49,RATN27056653581,54595.07,2027-02-24,processed
setl_orw24kcUo40TY3,RATN27063653607,323990.31,2027-03-03,processed
setl_IOPCgvCLxS6y1n,RATN27074653668,202405.95,2027-03-10,processed
setl_tcwtexNCsW5Cx4,RATN27077653683,79153.58,2027-03-17,processed
setl_Iz0uA7Bn0vfCvm,RATN27083653704,113362.55,2027-03-24,processed
