bank_reference,value_date,narration,amount
RATN27006653315,2027-01-06,NEFT CR RATN27006653315 RAZORPAYSOFTWAREP,7612.99
,2027-01-11,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-RATN********,-5995.76
RATN27013653320,2027-01-13,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,99392.50
RATN27025653335,2027-01-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN********,35052.82
RATN27029653361,2027-01-29,IMPS/RATN27029653361/RAZORPAYSOFTWAREP,92775.28
RATN27034653385,2027-02-03,NEFT-CR-RATN0000088-ARCLIGHT SYSTEMS,3862.14
RATN27035653413,2027-02-04,IMPS/RATN27035653413/RAZORPAY SOFTWARE PVT LTD,27059.33
RATN27036653452,2027-02-05,NEFT CR RATN27036653452 RAZORPAY SOFTWARE PVT LTD,24939.06
RATN27039653486,2027-02-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,92881.15
RATN27042653520,2027-02-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,119643.89
RATN27050653534,2027-02-19,IMPS/RATN27050653534/RAZORPAYSOFTWAREP,214228.78
RATN27056653548,2027-02-25,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE-RATN27056653548,-8337.35
RATN27056653581,2027-02-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27056653581,54595.07
RATN27060653582,2027-03-01,CHG:NEFT OUTWARD RATN27060653582,-54595.07
RATN27063653607,2027-03-04,IMPS/RATN27063653607/RAZORPAY SOFTWARE,323990.31
RATN27064653634,2027-03-05,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RATN27064653634,-8792.86
RATN27069653649,2027-03-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,22273.54
RATN27074653668,2027-03-15,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,202405.95
RATN27077653683,2027-03-18,NEFT CR RATN27077653683 RAZORPAYSOFTWAREP,79929.37
RATN27083653704,2027-03-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27083653704,113362.55
