bank_reference,value_date,narration,amount
,2027-01-14,NEFT CR RATN******** RAZORPAYSOFTWAREP,644407.73
RATN27020152478,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27020152478,622241.87
RATN27027152509,2027-01-27,NEFT CR RATN27027152509 RAZORPAY SOFTWARE,14908.31
RATN27027152511,2027-01-27,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,539394.31
RATN27032152515,2027-02-01,NEFT RET RATN27032152515 - ACCOUNT CLOSED,-539394.31
RATN27034152553,2027-02-03,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27034152553,465379.14
RATN27041152583,2027-02-10,IMPS/RATN27041152583/RAZORPAYSOFTWAREP,612318.79
RATN27049152603,2027-02-18,IMPS/RATN27049152603/RAZORPAY SOFTWARE PVT LTD,359121.90
RATN27055152638,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,392786.98
RATN27062152651,2027-03-03,NEFT CR RATN27062152651 RAZORPAY SOFTWARE PRIVATE LIMITED,500758.81
RATN27064152680,2027-03-05,NEFT-DR-RATN0000088-TOLLGATE MEDIA PVT LTD-RATN27064152680,-4545.20
RATN27068152688,2027-03-09,CHG:NEFT OUTWARD RATN27068152688,-4466.63
RATN27071152705,2027-03-12,RTGS-CR-RATN27071152705-RAZORPAY SOFTWARE PVT LTD,738999.99
RATN27074152719,2027-03-15,NEFT CR RATN27074152719 CLOVERLEAF FOODS PVT LTD,2326.92
RATN27074152727,2027-03-15,NEFT-CR-RATN0000088-SIXFOLD TRADING-ACME RETAIL PRIVATE LIMITED-RATN27074152727,17185.00
RATN27076152757,2027-03-17,RTGS-CR-RATN27076152757-RAZORPAYSOFTWAREP,904469.87
RATN27081152771,2027-03-22,IMPS/RATN27081152771/CLOVERLEAF FOODS PVT LTD,8180.18
RATN27082152792,2027-03-23,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE-RATN27082152792,-1529.90
RATN27083152813,2027-03-24,NEFT-CR-RATN0000088-CLG,676621.76
