bank_reference,value_date,narration,amount
RATN27007174656,2027-01-07,RTGS-CR-RATN27007174656-RAZORPAY SOFTWARE,64173.86
RATN27011174692,2027-01-11,CHG:NEFT OUTWARD RATN27011174692,-2257.32
RATN27013174719,2027-01-13,RTGS-CR-RATN27013174719-RAZORPAY SOFTWARE,798964.30
RATN27020174748,2027-01-20,IMPS/RATN27020174748/RAZORPAY SOFTWARE PVT LTD,31865.07
RATN27020174767,2027-01-20,NEFT CR RATN27020174767 RAZORPAY SOFTWARE,1000958.74
RATN27025174776,2027-01-25,CHG:NEFT OUTWARD RATN27025174776,-1000958.74
RATN27028174808,2027-01-28,NEFT-DR-RATN0000088-CLOVERLEAF FOODS PVT LTD-RATN27028174808,-7472.30
RATN27028174823,2027-01-28,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27028174823,768067.75
RATN27032174858,2027-02-01,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27032174858,14187.71
RATN27035174892,2027-02-04,NEFT CR RATN27035174892 RAZORPAY SOFTWARE,554449.48
RATN27039174918,2027-02-08,NEFT RET RATN******** - ACCOUNT CLOSED,-5262.80
RATN27041174958,2027-02-10,NEFT-CR-RATN0000088-RAZOR,1077766.10
RATN27048174976,2027-02-17,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27048174976,761544.01
RATN27055174994,2027-02-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27055174994,802508.04
,2027-03-03,RTGS-CR-RATN********-RAZORPAYSOFTWAREP,855238.79
RATN27071175022,2027-03-12,NEFT-CR-RATN0000088-VERTEX SUPPLY CO-ACME RETAIL PRIVATE LIMITED-RATN27071175022,31711.38
RATN27071175045,2027-03-12,IMPS/RATN27071175045/RAZORPAYSOFTWAREP,679419.61
RATN27077175067,2027-03-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27077175067,24614.05
RATN27077175092,2027-03-18,RTGS-CR-RATN27077175092-RAZORPAY SOFTWARE,876643.28
RATN27085175110,2027-03-26,IMPS/RATN27085175110/RAZORPAYSOFTWAREP,865745.62
