settlement_id,reported_reference,reported_amount,initiated_at,status
setl_dPdhixAvvMAcuT,RATN27007174656,64173.86,2027-01-06,processed
setl_Fn5YdbcyIFSYAc,RATN27013174719,798964.30,2027-01-13,processed
setl_vLrtwV1uPkGcJd,RATN27020174767,1000958.74,2027-01-20,processed
setl_hWKlQuzT902hEi,RATN27028174823,768067.75,2027-01-27,processed
setl_z24ZenwCgcbQAR,RATN27035174892,554449.48,2027-02-03,processed
setl_3Sm4mHfvkVb753,RATN27041174958,1077766.10,2027-02-10,processed
setl_tIgbDsTAzPlQID,RATN27048174976,761544.01,2027-02-17,processed
setl_0uA6Qt4jO9InPa,RATN27055174994,802508.04,2027-02-24,processed
setl_gLtLCQS9x2bDrr,,855238.79,2027-03-03,processed
setl_vtQw0mBryeqg0d,RATN27071175045,679419.61,2027-03-10,processed
setl_ucDmTi243ZPgZZ,RATN27077175092,876106.24,2027-03-17,processed
setl_6GCVIQQZo5raW4,RATN27085175110,865745.62,2027-03-24,processed
