settlement_id,reported_reference,reported_amount,initiated_at,status
setl_Fd6KKNJhsV48DC,RATN27006537454,17720.68,2027-01-06,processed
setl_cU5cnJoF0Fhwno,RATN27013537313,293655.12,2027-01-13,processed
setl_tgqYWxWonGUhT3,RATN27021537352,291321.89,2027-01-20,processed
setl_4RkqVrfAgjNDqk,RATN27027537377,220590.74,2027-01-27,processed
setl_6CcfdYG2jCncYM,RATN27036537435,305254.37,2027-02-03,processed
setl_jHZWL9vy8Gjpl4,RATN27042537453,535701.11,2027-02-10,processed
setl_JYwT2bZju5ynTK,RATN27049537454,303204.31,2027-02-17,processed
setl_SpmCMlhZ1iwwVH,RATN27056537544,322320.44,2027-02-24,processed
setl_Vg7GNT243epP4x,RATN27064537453,269791.50,2027-03-03,processed
setl_kZv9NCwMInPcTH,RATN27072537439,151442.50,2027-03-10,processed
setl_kpo8CnwMCuhx2w,,144937.03,2027-03-17,processed
setl_TTKjeYvZEqLEJd,RATN27084537672,171213.30,2027-03-24,processed
