bank_reference,value_date,narration,amount
RATN27006471700,2027-01-06,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,29044.96
RATN27008471733,2027-01-08,NEFT-DR-RATN0000088-RAZORPAYSOFTWAREP-RATN27008471733,-2672.12
RATN27014471746,2027-01-14,RTGS-CR-RATN27014471746-RAZORPAYSOFTWAREP,309953.42
RATN27019471785,2027-01-19,RTGS-CR-RATN27019471785-RAZORPAYSOFTWAREP,18981.32
RATN27020471800,2027-01-20,NEFT-CR-RATN0000088-VERTEX SUPPLY CO,39200.34
RATN27020471809,2027-01-20,CHG:NEFT OUTWARD RATN27020471809,-8958.17
RATN27020471824,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,59798.62
RATN27027471842,2027-01-27,RTGS-CR-RATN27027471842-RAZORPAY SOFTWARE PVT LTD,54385.55
RATN27032471857,2027-02-01,NEFT-CR-RATN0000088-CLG,-54385.55
RATN27035471892,2027-02-04,RTGS-CR-RATN27035471892-RAZORPAY SOFTWARE PVT LTD,161495.07
RATN27043471907,2027-02-12,RTGS-CR-RATN27043471907-RAZORPAY SOFTWARE,355325.74
RATN27048471912,2027-02-17,NEFT-CR-RATN0000088-CLG,152767.91
RATN27054471920,2027-02-23,NEFT RET RATN27054471920 - ACCOUNT CLOSED,-5532.03
RATN27055471934,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27055471934,235450.05
RATN27062471959,2027-03-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,147104.43
,2027-03-11,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,25498.79
RATN27071472016,2027-03-12,NEFT CR RATN27071472016 RAZORPAY SOFTWARE PVT LTD,5026.08
RATN27075472027,2027-03-16,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27075472027,26808.77
RATN27076472041,2027-03-17,NEFT CR RATN27076472041 RAZORPAY SOFTWARE PVT LTD,280382.26
RATN27084472074,2027-03-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27084472074,82420.41
