settlement_id,reported_reference,reported_amount,initiated_at,status
setl_7wBlPFEiSFJs9s,RATN27008490736,2586.48,2027-01-06,processed
setl_WRurtBdExfWCAh,RATN27013490743,501015.37,2027-01-13,processed
setl_XFgnc5DxeYafKe,RATN27021490781,284214.12,2027-01-20,processed
setl_6CB3B0btLCTPgw,RATN27029490836,317336.31,2027-01-27,processed
setl_Vo2eXMv8qCCicZ,RATN27034490841,444049.43,2027-02-03,processed
setl_Bpef7fXnNCGjIo,RATN27041490847,432256.99,2027-02-10,processed
setl_tna55IqzQK1TiV,RATN27049490900,377715.33,2027-02-17,processed
setl_eo2Ih1eHHF4Dw1,RATN27055490963,350849.18,2027-02-24,processed
setl_V1mwI6zqTAOpab,RATN27062491023,204178.56,2027-03-03,processed
setl_VDU5uM9gLnRVBq,RATN27070491041,558547.20,2027-03-10,processed
setl_XfrWIV6hp7ZfsC,RATN27077491077,361238.82,2027-03-17,processed
setl_qvnHJwThlC7B2V,RATN27084491112,341732.60,2027-03-24,processed
