bank_reference,value_date,narration,amount
RATN27008490736,2027-01-08,IMPS/RATN27008490736/RAZORPAY SOFTWARE,2586.48
RATN27013490743,2027-01-13,IMPS/RATN27013490743/RAZORPAY SOFTWARE PVT LTD,501015.37
RATN27018490776,2027-01-18,CHG:NEFT OUTWARD RATN27018490776,-2286.83
RATN27021490781,2027-01-21,RTGS-CR-RATN27021490781-RAZORPAY SOFTWARE PVT LTD,284214.12
RATN27026490796,2027-01-26,RTGS-CR-RATN********-RAZORPAY SOFTWARE PVT LTD,28383.80
RATN27029490836,2027-01-29,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27029490836,317336.31
RATN27034490841,2027-02-03,RTGS-CR-RATN27034490841-RAZORPAY SOFTWARE PRIVATE LIMITED,444049.43
RATN27041490847,2027-02-10,RTGS-CR-RATN27041490847-RAZORPAY SOFTWARE,432256.99
RATN27042490870,2027-02-11,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27042490870,-2273.75
RATN27049490900,2027-02-18,IMPS/RATN27049490900/RAZORPAYSOFTWAREP,378151.09
RATN27053490939,2027-02-22,NEFT CR RATN******** RAZORPAY SOFTWARE,32182.96
RATN27055490963,2027-02-24,NEFT CR RATN27055490963 RAZORPAY SOFTWARE PVT LTD,350849.18
RATN27057490976,2027-02-26,NEFT RET RATN27057490976 - ACCOUNT CLOSED,-855.60
RATN27060490993,2027-03-01,RTGS-CR-RATN27060490993-RAZORPAYSOFTWAREP,31067.73
RATN27062491023,2027-03-03,NEFT CR RATN27062491023 RAZORPAY SOFTWARE PVT LTD,204178.56
RATN27070491041,2027-03-11,IMPS/RATN27070491041/RAZORPAY SOFTWARE PVT LTD,558547.20
RATN27077491077,2027-03-18,RTGS-CR-RATN27077491077-RAZORPAYSOFTWAREP,361238.82
,2027-03-22,CHG:NEFT OUTWARD RATN********,-361238.82
RATN27083491110,2027-03-24,IMPS/RATN27083491110/ARCLIGHT SYSTEMS,34921.64
RATN27084491112,2027-03-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27084491112,341732.60
