bank_reference,value_date,narration,amount
RATN27006491684,2027-01-06,IMPS/RATN27006491684/RAZORPAY SOFTWARE PRIVATE LIMITED,91482.81
RATN27015491696,2027-01-15,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27015491696,462172.30
RATN27019491723,2027-01-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27019491723,8063.12
RATN27019491754,2027-01-19,NEFT-DR-RATN0000088-CLOVERLEAF FOODS PVT LTD-RATN27019491754,-462172.30
RATN27020491771,2027-01-20,NEFT CR RATN27020491771 RAZORPAY SOFTWARE PVT LTD,20842.20
RATN27020491799,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27020491799,569037.93
RATN27027491821,2027-01-27,RTGS-CR-RATN27027491821-RAZORPAYSOFTWAREP,602190.25
RATN27033491826,2027-02-02,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,1364.95
RATN27035491829,2027-02-04,NEFT CR RATN27035491829 RAZORPAY SOFTWARE,832331.75
RATN27041491854,2027-02-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27041491854,309959.69
RATN27046491873,2027-02-15,NEFT RET RATN27046491873 - ACCOUNT CLOSED,-3001.38
RATN27048491902,2027-02-17,RTGS-CR-RATN27048491902-RAZORPAY SOFTWARE,378626.05
RATN27055491911,2027-02-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,751421.63
RATN27063491934,2027-03-04,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,929802.83
,2027-03-09,NEFT-CR-RATN0000088-TOLLGATE MEDIA PVT,7690.82
RATN27069491967,2027-03-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,443049.82
RATN27074491997,2027-03-15,CHG:NEFT OUTWARD RATN27074491997,-295.81
RATN27078492029,2027-03-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27078492029,421827.97
RATN27084492063,2027-03-25,NEFT RET RATN27084492063 - ACCOUNT CLO,-1440.29
RATN27084492068,2027-03-25,NEFT CR RATN******** RAZORPAY SOFTWARE PRIVATE LIMITED,539634.77
