settlement_id,reported_reference,reported_amount,initiated_at,status
setl_4cLGwfTEHT6bxi,,17641.48,2027-01-06,processed
setl_4ziH7zkuGq9wDY,RATN27013193017,180319.41,2027-01-13,processed
setl_ZPjg3jML4xzgrA,RATN27020193054,340112.47,2027-01-20,processed
setl_XqVKrhe9xgkQw1,RATN27032193103,367450.01,2027-01-27,processed
setl_mP5f4jfANrgx2s,RATN27035193135,267174.83,2027-02-03,processed
setl_EbIVZBFSA6CG2V,RATN27041193157,157110.70,2027-02-10,processed
setl_mvE2l5Tglm6pCP,RATN27048193175,286434.80,2027-02-17,processed
setl_JYK5N0DYWPAdnE,RATN27055193227,336316.88,2027-02-24,processed
setl_SMirArgTYJhkvS,RATN27062193310,469487.41,2027-03-03,processed
setl_SsVXjsFlQyxhsg,RATN27069193369,288371.03,2027-03-10,processed
setl_iBnrrPECGketqJ,RATN27077193405,368540.91,2027-03-17,processed
setl_RjX9D9AaM2N0Wh,RATN27083193434,312545.80,2027-03-24,processed
