bank_reference,value_date,narration,amount
,2027-01-06,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,17641.48
RATN27012192998,2027-01-12,RTGS-CR-RATN27012192998-RAZORPAY SOFTWARE,33925.41
RATN27013193017,2027-01-13,NEFT CR RATN27013193017 RAZORPAYSOFTWAREP,180148.88
RATN27020193054,2027-01-20,NEFT-CR-RATN0000088-RAZORPAYSOFTWA,340112.47
RATN27022193068,2027-01-22,NEFT RET RATN27022193068 - ACCOUNT CLOSED,-340112.47
RATN27032193103,2027-02-01,NEFT CR RATN27032193103 RAZORPAY SOFTWARE PRIVATE LIMITED,367450.01
RATN27035193135,2027-02-04,IMPS/RATN27035193135/RAZORPAYSOFTWAREP,267174.83
RATN27040193151,2027-02-09,NEFT RET RATN27040193151 - ACCOUNT CLOSED,-450.45
RATN27041193157,2027-02-10,RTGS-CR-RATN27041193157-RAZORPAY SOFTWARE,157110.70
RATN27048193175,2027-02-17,NEFT CR RATN27048193175 RAZORPAY SOFTWARE,286434.80
RATN27050193213,2027-02-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27050193213,9087.74
RATN27055193227,2027-02-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27055193227,336316.88
RATN27056193242,2027-02-25,NEFT RET RATN27056193242 - ACCOUNT CLOSED,-816.03
RATN27060193277,2027-03-01,NEFT CR RATN27060193277 RAZORPAYSOFTWAREP,25049.13
RATN27062193310,2027-03-03,RTGS-CR-RATN********-RAZORPAY SOFTWARE,469487.41
RATN27067193350,2027-03-08,CHG:NEFT OUTWARD RATN27067193350,-8681.50
RATN27069193353,2027-03-10,NEFT CR RATN27069193353 RAZORPAY SOFTWARE PRIVATE LIMITED,7511.15
RATN27069193369,2027-03-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27069193369,288371.03
RATN27077193405,2027-03-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27077193405,368540.91
RATN27083193434,2027-03-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27083193434,312545.80
