settlement_id,reported_reference,reported_amount,initiated_at,status
setl_vw2q3Z9qJHhzdQ,RATN27006580634,48005.60,2027-01-06,processed
setl_idqU9InSbbtz8c,RATN27015580661,178044.25,2027-01-13,processed
setl_1kcbDdRy2zA1T6,RATN27020580678,458052.03,2027-01-20,processed
setl_3hCMtHi1FzOfeJ,RATN27027580713,259017.26,2027-01-27,processed
setl_CdKiOpFPDKyzVt,RATN27035580780,734131.06,2027-02-03,processed
setl_u82gUeAnMu6of6,,214190.96,2027-02-10,processed
setl_qTo54nTYP8flpb,RATN27048580868,332251.03,2027-02-17,processed
setl_UghBejUu4mgU4A,RATN27056580929,179633.27,2027-02-24,processed
setl_xH5INTXP3vIO5w,RATN27063580960,173688.15,2027-03-03,processed
setl_fbsGuptYBbW6kp,RATN27069580996,138643.31,2027-03-10,processed
setl_tPHdlTRHJcplUL,RATN27077581037,489099.33,2027-03-17,processed
setl_J03UhoN3nWSRdK,RATN27084581040,256251.11,2027-03-24,processed
