bank_reference,value_date,narration,amount
,2027-01-07,IMPS/RATN********/RAZORPAYSOFTWAREP,1500.00
RATN27013103166,2027-01-13,RTGS-CR-RATN27013103166-CLOVERLEAF FOODS PVT LTD,2907.42
RATN27013103188,2027-01-13,NEFT CR RATN27013103188 RAZORPAYSOFTWA,364327.86
RATN27018103212,2027-01-18,IMPS/RATN27018103212/RAZORPAY SOFTWARE PRIVATE LIMITED,20112.70
RATN27020103236,2027-01-20,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27020103236,206201.96
RATN27028103259,2027-01-28,RTGS-CR-RATN27028103259-RAZORPAYSOFTWAREP,249608.99
RATN27036103271,2027-02-05,IMPS/RATN27036103271/RAZORPAYSOFTWAREP,320373.22
RATN27043103298,2027-02-12,CHG:NEFT OUTWARD RATN27043103298,-1766.69
RATN27043103317,2027-02-12,RTGS-CR-RATN27043103317-RA,427448.12
RATN27046103356,2027-02-15,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-RATN27046103356,-427448.12
RATN27049103392,2027-02-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,244704.95
RATN27053103426,2027-02-22,RTGS-CR-RATN27053103426-SIXFOLD TRADING,11913.05
RATN27053103435,2027-02-22,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27053103435,26811.64
RATN27056103466,2027-02-25,NEFT CR RATN27056103466 RAZORPAYSOFTWAREP,187305.41
RATN27062103468,2027-03-03,IMPS/RATN27062103468/RAZORPAYSOFTWAREP,261607.61
RATN27069103480,2027-03-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27069103480,235510.30
RATN27076103496,2027-03-17,RTGS-CR-RATN27076103496-RAZORPAY SOFTWARE PVT LTD,360369.16
RATN27081103531,2027-03-22,NEFT RET RATN27081103531 - ACCOUNT CLOSED,-4513.70
RATN27083103545,2027-03-24,NEFT RET RATN27083103545 - ACCOUNT CLOSED,-5945.45
RATN27083103559,2027-03-24,NEFT CR RATN27083103559 RAZORPAY SOFTWARE,237743.64
