settlement_id,reported_reference,reported_amount,initiated_at,status
setl_T1lX3n0rj0ndJb,RATN27007103185,1500.00,2027-01-06,processed
setl_TTyQWEzpBGjij7,RATN27013103461,364327.86,2027-01-13,processed
setl_fy4pzffp2lK36P,RATN27023103186,206201.96,2027-01-20,processed
setl_VvtlRyoWCaOuOO,RATN27030103202,249608.99,2027-01-27,processed
setl_brgCjWlOYdOgAF,RATN27035103355,320373.22,2027-02-03,processed
setl_Hro8w9vvFq0ZFi,RATN27041103384,427448.12,2027-02-10,processed
setl_cEbqs7gqJtlou8,RATN27048103315,244704.95,2027-02-17,processed
setl_CTGX3y4jKqMs6s,RATN27058103268,187305.41,2027-02-24,processed
setl_7Y61TXPrIk0DXV,RATN27063103284,261607.61,2027-03-03,processed
setl_Cnxy5JGojWX9zP,RATN27070103224,235510.30,2027-03-10,processed
setl_UVb6QHmZzO4xIz,RATN27078103233,360369.16,2027-03-17,processed
setl_RSbKCyv43nwCPD,RATN27085103276,237743.64,2027-03-24,processed
