settlement_id,reported_reference,reported_amount,initiated_at,status
setl_3rScAjHxiVyKrz,RATN27007239558,58153.48,2027-01-06,processed
setl_i6fABO89ze7qs0,RATN27014239495,372742.54,2027-01-13,processed
setl_zgweW6ADhovX30,RATN27021239564,214149.86,2027-01-20,processed
setl_l0rxK3IfTnecIY,RATN27027239725,266764.28,2027-01-27,processed
setl_K71GOg0S6VmjBQ,RATN27035239574,237517.23,2027-02-03,processed
setl_lYhXpt7QdT2JUM,RATN27042239740,390828.81,2027-02-10,processed
setl_dB9mkYu0lF3a2h,RATN27048239641,398581.30,2027-02-17,processed
setl_WOW8WD4ADk6Lsp,RATN27057239688,103542.53,2027-02-24,processed
setl_tQ4TfOl6y3otj7,RATN27063239724,364684.44,2027-03-03,processed
setl_xDpOmqTDlzRqYS,,241585.46,2027-03-10,processed
setl_8iZUmJeFJEOsYq,RATN27076239620,133308.18,2027-03-17,processed
setl_brGnsGhdikGR0E,RATN27085239800,95307.47,2027-03-24,processed
