bank_reference,value_date,narration,amount
RATN27006239483,2027-01-06,NEFT CR RATN27006239483 RAZORPAY SOFTWARE,58153.48
RATN27011239493,2027-01-11,NEFT-DR-RATN0000088-CLOVERLEAF FOODS PVT LTD-RATN27011239493,-7401.72
RATN27014239495,2027-01-14,RTGS-CR-RATN27014239495-RAZORPAYSOFTWAREP,372742.54
RATN27015239512,2027-01-15,NEFT CR RATN27015239512 RAZORPAY SOFTWARE PRIVATE LIMITED,13672.73
RATN27019239525,2027-01-19,CHG:NEFT OUTWARD RATN27019239525,-1795.29
RATN27021239564,2027-01-21,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,214149.86
RATN27027239565,2027-01-27,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,266764.28
RATN27035239574,2027-02-04,NEFT CR RATN******** RAZORPAY SOFTWARE PVT LTD,237517.23
RATN27041239581,2027-02-10,RTGS-CR-RATN27041239581-RAZORPAY SOFTWARE,390828.81
RATN27043239605,2027-02-12,NEFT RET RATN27043239605 - ACCOUNT CLOSED,-593.65
RATN27048239641,2027-02-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27048239641,398581.30
RATN27054239671,2027-02-23,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27054239671,2503.69
RATN27057239688,2027-02-26,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27057239688,102897.60
RATN27062239722,2027-03-03,NEFT-CR-RATN0000088-CLG,364684.44
RATN27067239757,2027-03-08,NEFT CR RATN27067239757 VERTEX SUPPLY CO,21828.76
RATN27067239760,2027-03-08,NEFT RET RATN27067239760 - ACCOUNT CLOSED,-364684.44
,2027-03-10,IMPS/RATN********/RAZORPAY SOFTWARE PRIVATE LIMITED,241585.46
RATN27071239834,2027-03-12,NEFT-CR-RATN0000088-CLOVERLEAF FOODS PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27071239834,27114.97
RATN27078239836,2027-03-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,133308.18
RATN27083239847,2027-03-24,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,95307.47
