bank_reference,value_date,narration,amount
RATN27006468838,2027-01-06,RTGS-CR-RATN27006468838-RAZORPAY SOFTWARE PRIVATE LIMITED,117273.46
,2027-01-14,NEFT-CR-RATN0000088-RAZORPAY SO,523250.11
RATN27020468865,2027-01-20,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27020468865,278693.51
RATN27025468877,2027-01-25,RTGS-CR-RATN27025468877-TOLLGATE MEDIA PVT LTD,8138.52
RATN27027468901,2027-01-27,RTGS-CR-RATN27027468901-RAZORPAY SOFTWARE PVT LTD,410221.09
RATN27032468903,2027-02-01,NEFT CR RATN27032468903 RAZORPAYSOFTWAREP,10753.47
RATN27032468931,2027-02-01,NEFT RET RATN27032468931 - ACCOUNT CLOSED,-410221.09
RATN27035468944,2027-02-04,NEFT-CR-RATN0000088-CLG,430490.85
RATN27039468971,2027-02-08,NEFT CR RATN27039468971 ARCLIGHT SYSTEMS,13598.27
RATN27041468980,2027-02-10,IMPS/RATN27041468980/RAZORPAY SOFTWARE,350510.98
RATN27048469001,2027-02-17,NEFT CR RATN27048469001 RAZORPAY SOFTWARE PVT LTD,303045.29
RATN27057469041,2027-02-26,NEFT RET RATN27057469041 - ACCOUNT CLOSED,-574.80
RATN27057469073,2027-02-26,NEFT CR RATN27057469073 RAZORPAYSOFTWAREP,488664.78
RATN27060469108,2027-03-01,RTGS-CR-RATN27060469108-RAZORPAY SOFTWARE,11870.11
RATN27060469112,2027-03-01,NEFT RET RATN27060469112 - ACCOUNT CLOSED,-804.75
RATN27063469128,2027-03-04,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27063469128,345769.59
RATN27070469130,2027-03-11,IMPS/RATN27070469130/RAZORPAYSOFTWAREP,217775.78
RATN27076469145,2027-03-17,NEFT-CR-RATN0000088-CLG,540915.97
RATN27081469166,2027-03-22,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-RATN27081469166,-8243.05
RATN27084469181,2027-03-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27084469181,490842.42
