settlement_id,reported_reference,reported_amount,initiated_at,status
setl_CAafR1d3fmOHX7,RATN27006468838,117273.46,2027-01-06,processed
setl_fZJ2Eo4IgB0dCD,,523250.11,2027-01-13,processed
setl_UAJ1MpmyBTLxVu,RATN27020468865,278693.51,2027-01-20,processed
setl_3PM4sDV2YuVfRK,RATN27027468901,409849.62,2027-01-27,processed
setl_MaZu7TGZgEXZsV,RATN27035468944,430490.85,2027-02-03,processed
setl_hZhZA7TmDkvZDM,RATN27041468980,350510.98,2027-02-10,processed
setl_ANWRoXWb4bH941,RATN27048469001,303045.29,2027-02-17,processed
setl_gYsJz38YdT4DO8,RATN27057469073,488664.78,2027-02-24,processed
setl_JSm3y87bSSQpJk,RATN27063469128,345769.59,2027-03-03,processed
setl_kSiAWrCrprVzkP,RATN27070469130,217775.78,2027-03-10,processed
setl_MIe6mjKRA7uLaH,RATN27076469145,540915.97,2027-03-17,processed
setl_LTzs5OWLW342U2,RATN27084469181,490842.42,2027-03-24,processed
