bank_reference,value_date,narration,amount
RATN27007479268,2027-01-07,RTGS-CR-RATN27007479268-RAZORPAY SOFTWARE PVT LTD,12543.80
RATN27008479307,2027-01-08,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-RATN********,-12543.80
RATN27011479339,2027-01-11,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27011479339,-7381.65
RATN27015479369,2027-01-15,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,528441.72
,2027-01-19,IMPS/RATN27019479409/TOLLGATE MEDIA PVT,2766.12
RATN27019479419,2027-01-19,CHG:NEFT OUTWARD RATN27019479419,-1169.28
RATN27021479451,2027-01-21,IMPS/RATN27021479451/RAZORPAY SOFTWARE PVT LTD,210310.76
RATN27028479461,2027-01-28,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,439923.19
RATN27035479481,2027-02-04,IMPS/RATN27035479481/RAZORPAYSOFTWAREP,313297.62
RATN27036479508,2027-02-05,NEFT RET RATN27036479508 - ACCOUNT CLOSED,-5700.77
RATN27042479548,2027-02-11,IMPS/RATN27042479548/RAZORPAY SOFTWARE PVT LTD,271615.88
RATN27048479561,2027-02-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,104141.86
RATN27050479570,2027-02-19,NEFT-CR-RATN0000088-CLG,26185.72
RATN27055479601,2027-02-24,RTGS-CR-RATN27055479601-RAZORPAYSOFTWAREP,138449.23
RATN27062479620,2027-03-03,NEFT CR RATN27062479620 RAZORPAY SOFTWARE PVT LTD,100626.01
RATN27067479656,2027-03-08,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27067479656,34458.41
RATN27068479678,2027-03-09,NEFT CR RATN27068479678 RAZORPAY SOFTWARE PRIVATE LIMITED,15306.60
RATN27070479680,2027-03-11,RTGS-CR-RATN27070479680-RAZORPAY SOFTWARE,177239.23
RATN27078479719,2027-03-19,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,333127.01
RATN27084479756,2027-03-25,IMPS/RATN27084479756/RAZORPAYSOFTWAREP,112055.04
