bank_reference,value_date,narration,amount
RATN27006855108,2027-01-06,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,58019.94
RATN27012855123,2027-01-12,RTGS-CR-RATN27012855123-RAZORPAYSOFTWAREP,16856.16
RATN27014855151,2027-01-14,RTGS-CR-RATN27014855151-RAZORPAY SOFTWARE PVT LTD,311610.87
RATN27020855155,2027-01-20,RTGS-CR-RATN27020855155-RAZORPAY SOFTWARE PVT LTD,264129.08
RATN27027855162,2027-01-27,CHG:NEFT OUTWARD RATN27027855162,-3616.36
RATN27028855179,2027-01-28,NEFT CR RATN27028855179 ,79272.92
RATN27035855208,2027-02-04,NEFT CR RATN27035855208 RAZORPAY SOFTWARE PVT LTD,229536.16
RATN27041855225,2027-02-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,182033.07
RATN27046855234,2027-02-15,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RATN27046855234,-633.11
RATN27048855262,2027-02-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,39067.73
RATN27053855295,2027-02-22,NEFT CR RATN27053855295 RAZORPAY SOFTWARE PRIVATE LIMITED,344474.78
RATN27056855304,2027-02-25,RTGS-CR-RATN27056855304-RAZORPAYSOFTWAREP,442347.38
RATN27060855316,2027-03-01,NEFT CR RATN27060855316 RAZORPAYSOFTWAREP,29174.44
,2027-03-03,NEFT CR RATN******** RAZORPAY SOFTWARE,189438.07
RATN27069855387,2027-03-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,445442.13
RATN27074855406,2027-03-15,NEFT RET RATN27074855406 - ACCOUNT CLOSED,-4014.33
RATN27076855427,2027-03-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED,302375.34
RATN27081855446,2027-03-22,NEFT-CR-RATN0000088-CLG,36961.68
RATN27081855459,2027-03-22,CHG:NEFT OUTWARD RATN27081855459,-302375.34
RATN27083855467,2027-03-24,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27083855467,152742.87
