settlement_id,reported_reference,reported_amount,initiated_at,status
setl_PvWOC38QRsmVdW,RATN27006855108,58019.94,2027-01-06,processed
setl_gGKnNRuR7MaAVv,RATN27014855151,311610.87,2027-01-13,processed
setl_O6bXqIIcMOu8cY,RATN27020855155,264129.08,2027-01-20,processed
setl_jcuEZhkxaz0ZxO,RATN27028855179,79440.92,2027-01-27,processed
setl_QDa3NiU4nt7wDL,RATN27035855208,229536.16,2027-02-03,processed
setl_62L5Ln78pOqGZJ,RATN27041855225,182033.07,2027-02-10,processed
setl_yqX1G1SNUy0fOw,RATN27053855295,344474.78,2027-02-17,processed
setl_WMfb02zPhbiIT6,RATN27056855304,442347.38,2027-02-24,processed
setl_4GncrEgEAvxlMY,,189438.07,2027-03-03,processed
setl_MHhbDlDpVIOqNE,RATN27069855387,445442.13,2027-03-10,processed
setl_DI2gfxiWWNTzn8,RATN27076855427,302375.34,2027-03-17,processed
setl_YNIQZOosnFdCB2,RATN27083855467,152742.87,2027-03-24,processed
