settlement_id,reported_reference,reported_amount,initiated_at,status
setl_SttpdTD1jXfgpC,RATN27006169543,23865.16,2027-01-06,processed
setl_KgiZPuHrywhoqo,RATN27013169567,141747.25,2027-01-13,processed
setl_xrEk6dyekxsuRf,RATN27020169412,266963.35,2027-01-20,processed
setl_mwgmOGUHDcHxo4,RATN27028169450,338424.70,2027-01-27,processed
setl_DD6GaCPXKLyXwH,RATN27035169516,323666.56,2027-02-03,processed
setl_AjQV70wDU6OFob,RATN27041169526,74950.15,2027-02-10,processed
setl_1k2e8VrcqpgO0a,RATN27049169328,275246.72,2027-02-17,processed
setl_mTInCLiyy1MneA,RATN27056169688,309532.38,2027-02-24,processed
setl_5T7jeQDehQPii7,RATN27062169575,128577.01,2027-03-03,processed
setl_qvWbOTOEmmkJg3,RATN27070169637,144192.96,2027-03-10,processed
setl_U9vvFSapQx5Hik,RATN27077169715,487399.94,2027-03-17,processed
setl_sBTH3zaOLIAwBe,RATN27083169516,482631.41,2027-03-24,processed
