bank_reference,value_date,narration,amount
RATN27007169321,2027-01-07,RTGS-CR-RATN27007169321-RAZORPAY SOFTWARE PRIVATE LIMITED,23865.16
RATN27011169345,2027-01-11,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27011169345,38768.05
RATN27013169372,2027-01-13,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP-ACME RETAIL PRIVATE LIMITED-RATN27013169372,141747.25
RATN27020169412,2027-01-20,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,266963.35
RATN27025169438,2027-01-25,NEFT-CR-RATN0000088-VERTEX SUPPLY CO-ACME RETAIL PRIVATE LIMITED-RATN27025169438,24087.28
RATN27027169456,2027-01-27,IMPS/RATN27027169456/RAZORPA,338424.70
RATN27034169481,2027-02-03,NEFT RET RATN27034169481 - ACCOUNT CLOSED,-4192.91
RATN27035169516,2027-02-04,NEFT-CR-RATN0000088-CLG,323666.56
RATN27041169526,2027-02-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,74950.15
RATN27046169552,2027-02-15,NEFT RET RATN27046169552 - ACCOUNT CLOSED,-2791.08
RATN27050169554,2027-02-19,RTGS-CR-RATN27050169554-RAZORPAY SOFTWARE,275246.72
RATN27056169561,2027-02-25,IMPS/RATN27056169561/RAZORPAY SOFTWARE,309532.38
RATN27062169575,2027-03-03,IMPS/RATN27062169575/RAZORPAY SOFTWARE PVT LTD,128853.07
RATN27067169606,2027-03-08,CHG:NEFT OUTWARD RATN27067169606,-857.15
RATN27070169637,2027-03-11,RTGS-CR-RATN27070169637-RAZORPAY SOFTWARE PVT LTD,144192.96
,2027-03-15,NEFT-CR-RATN0000088-CLG,3578.32
RATN27077169687,2027-03-18,IMPS/RATN27077169687/RAZORPAY SOFTWARE PVT LTD,11951.22
RATN27077169715,2027-03-18,RTGS-CR-RATN27077169715-RAZORPAY SOFTWARE,487399.94
RATN27081169721,2027-03-22,NEFT-DR-RATN0000088-VERTEX SUPPLY CO-RATN27081169721,-487399.94
RATN27084169722,2027-03-25,NEFT CR RATN27084169722 RAZORPAY SOFTWARE PRIVATE LIMITED,482631.41
