settlement_id,reported_reference,reported_amount,initiated_at,status
setl_w6W4bcNxhj8HFC,RATN27006799613,107740.85,2027-01-06,processed
setl_rVxqTy4Pi9Jh0u,RATN27014799637,383103.56,2027-01-13,processed
setl_BVhHVVTa515MSS,RATN27020799641,638386.21,2027-01-20,processed
setl_xka7aUTwLNFuDw,RATN27027799669,593643.72,2027-01-27,processed
setl_vLQ8afTyYVl8qj,RATN27034799737,435065.54,2027-02-03,processed
setl_2GyeTL0UQy8n0C,,486087.26,2027-02-10,processed
setl_xuZLFoxooG45jO,RATN27049799812,419437.40,2027-02-17,processed
setl_B3ubIRPktRpwTB,RATN27055799839,641127.17,2027-02-24,processed
setl_RfS17mVST3NimQ,RATN27062799840,458930.65,2027-03-03,processed
setl_4uE04LY0AppBHU,RATN27071799871,577305.46,2027-03-10,processed
setl_KGr63D1M2SeVRP,RATN27077799908,545088.56,2027-03-17,processed
setl_hqiyg6Gpxvmq1w,RATN27085799951,376999.92,2027-03-24,processed
