bank_reference,value_date,narration,amount
RATN27006456783,2027-01-06,IMPS/RATN27006456783/RAZORPAYSOFTWAREP,25429.04
RATN27008456817,2027-01-08,NEFT RET RATN27008456817 - ACCOUNT CLOSED,-25429.04
RATN27013456834,2027-01-13,NEFT CR RATN27013456834 RAZORPAY SOFTWARE PRIVATE LIMITED,169937.51
RATN27018456866,2027-01-18,RTGS-CR-RATN27018456866-RAZORPA,22847.70
RATN27021456876,2027-01-21,IMPS/RATN27021456876/RAZORPAY SOFTWARE PRIVATE LIMITED,392289.15
RATN27027456893,2027-01-27,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27027456893,401483.66
,2027-02-02,NEFT-CR-RATN0000088-CLG,-1696.46
RATN27036456933,2027-02-05,RTGS-CR-RATN27036456933-RAZORPAY SOFTWARE,243928.19
RATN27039456962,2027-02-08,RTGS-CR-RATN27039456962-VERTEX SUPPLY CO,10448.62
RATN27041456992,2027-02-10,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27041456992,111876.66
RATN27047457023,2027-02-16,RTGS-CR-RATN27047457023-CLOVERLEAF FOODS PVT LTD,31521.44
RATN27049457034,2027-02-18,NEFT-DR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-RATN27049457034,-7419.71
RATN27049457035,2027-02-18,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27049457035,67413.44
RATN27053457052,2027-02-22,NEFT CR RATN27053457052 RAZORPAY SOFTWARE PVT LTD,38141.29
RATN27055457061,2027-02-24,IMPS/RATN27055457061/RAZORPAY SOFTWARE PVT LTD,473579.81
RATN27062457071,2027-03-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27062457071,259783.74
RATN27070457073,2027-03-11,RTGS-CR-RATN27070457073-RAZORPAY SOFTWARE PRIVATE LIMITED,582482.07
RATN27074457081,2027-03-15,NEFT RET RATN******** - ACCOUNT CLOSED,-7710.60
RATN27076457118,2027-03-17,RTGS-CR-RATN27076457118-RAZORPAYSOFTWAREP,114727.55
RATN27085457137,2027-03-26,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,323947.28
