settlement_id,reported_reference,reported_amount,initiated_at,status
setl_vODk4NFThOmZsb,RATN27006456878,25429.04,2027-01-06,processed
setl_3rh09AHxu5j32F,RATN27013456935,169937.51,2027-01-13,processed
setl_fSlOMKf5m7Zwmr,RATN27021456883,392289.15,2027-01-20,processed
setl_Xlx4jp8ChVbTAt,RATN27029456830,401483.66,2027-01-27,processed
setl_t77E80a2wRyFIh,RATN27036457040,243928.19,2027-02-03,processed
setl_SimWdQ1ezjUeBY,RATN27042457078,111876.66,2027-02-10,processed
setl_o6u3EKqYKuUo7j,RATN27048456952,67413.44,2027-02-17,processed
setl_HBqlTDbYf8S13Z,RATN27055457129,473579.81,2027-02-24,processed
setl_s3RCWdHvwpk0lh,RATN27063456810,259783.74,2027-03-03,processed
setl_OvNWr5239KvaQz,RATN27072457061,582482.07,2027-03-10,processed
setl_0uQW4Mure2UCam,RATN27079456909,114727.55,2027-03-17,processed
setl_44tKunElmy7wRp,RATN27084456917,323947.28,2027-03-24,processed
