bank_reference,value_date,narration,amount
RATN27007271115,2027-01-07,NEFT CR RATN27007271115 RAZORPAY SOFTWARE PVT LTD,25486.37
RATN27011271143,2027-01-11,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN27011271143,-25486.37
RATN27013271160,2027-01-13,IMPS/RATN27013271160/RAZORPAY SOFTWARE PRIVATE LIMITED,538558.54
RATN27018271191,2027-01-18,CHG:NEFT OUTWARD RATN27018271191,-4001.70
RATN27020271217,2027-01-20,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,525278.40
RATN27029271232,2027-01-29,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,486859.00
RATN27035271237,2027-02-04,RTGS-CR-RATN27035271237-RAZORPAY SOFTWARE PRIVATE LIMITED,473595.35
RATN27042271272,2027-02-11,CHG:NEFT OUTWARD RATN27042271272,-8658.04
RATN27043271312,2027-02-12,NEFT CR RATN27043271312 RAZORPAYSOFTWAREP,433136.14
RATN27049271337,2027-02-18,IMPS/RATN27049271337/RAZORPAY SOFTWARE PRIVATE LIMITED,492455.86
RATN27056271371,2027-02-25,NEFT CR RATN27056271371 RAZORPAY SOFTWARE PVT LTD,360996.73
RATN27060271376,2027-03-01,RTGS-CR-RATN27060271376-TOLLGATE MEDIA PVT LTD,14533.99
RATN27060271393,2027-03-01,NEFT RET RATN27060271393 - ACCOUNT CLOSED,-3214.14
RATN27063271401,2027-03-04,NEFT CR RATN27063271401 RAZORPAY SOFTWARE PVT LTD,473750.85
,2027-03-10,NEFT CR RATN******** SIXFOLD TRADING,11521.73
RATN27070271442,2027-03-11,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,391063.26
RATN27076271474,2027-03-17,IMPS/RATN********/RAZORPAYSOFTWAREP,403880.39
RATN27081271494,2027-03-22,IMPS/RATN27081271494/SIXFOLD TR,12361.84
RATN27085271534,2027-03-26,IMPS/RATN27085271534/NIMBUS LOGISTICS LLP,31546.79
RATN27088271546,2027-03-29,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27088271546,422830.67
