settlement_id,reported_reference,reported_amount,initiated_at,status
setl_HxhG6dRzf1muAS,RATN27007271115,25486.37,2027-01-06,processed
setl_nIt3eYikk6Q2TR,RATN27013271160,538558.54,2027-01-13,processed
setl_V0WWt2BYR5kyQ2,RATN27020271217,525278.40,2027-01-20,processed
setl_GBUN00DRaL3Wmf,RATN27029271232,486859.00,2027-01-27,processed
setl_pqne1ycqcQXlRa,RATN27035271237,473595.35,2027-02-03,processed
setl_iK58XZuqbOGrkJ,RATN27043271312,433136.14,2027-02-10,processed
setl_EmLnY7SjGn1LC9,RATN27049271337,492455.86,2027-02-17,processed
setl_LSonU41NwGTYxI,RATN27056271371,360996.73,2027-02-24,processed
setl_iFf1KCK55hn3x5,RATN27063271401,472952.29,2027-03-03,processed
setl_TEZRu0ilh7nMKw,RATN27070271442,391063.26,2027-03-10,processed
setl_2EEcaN9UHNvcpf,RATN27076271474,403880.39,2027-03-17,processed
setl_izzoq6dJ6ozAIu,RATN27088271546,422830.67,2027-03-24,processed
