bank_reference,value_date,narration,amount
RATN27008214325,2027-01-08,RTGS-CR-RATN27008214325-RAZORPAY SOFTWARE PRIVATE LIMITED,47741.07
RATN27011214356,2027-01-11,NEFT CR RATN27011214356 SIXFOLD TRADING,34705.11
RATN27015214379,2027-01-15,CHG:NEFT OUTWARD RATN27015214379,-5760.35
RATN27015214384,2027-01-15,RTGS-CR-RATN27015214384-RAZORPAYSOFTWAREP,612107.04
RATN27018214416,2027-01-18,NEFT RET RATN27018214416 - ACCOUNT CLOSED,-612107.04
RATN27020214420,2027-01-20,NEFT CR RATN27020214420 RAZORPAY SOFTWARE,329483.38
RATN27027214442,2027-01-27,NEFT CR RATN27027214442 RAZORPAY SOFTWARE,586510.28
RATN27034214461,2027-02-03,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PRIVATE LIMITED-ACME RETAIL PRIVATE LIMITED-RATN27034214461,1339.87
RATN27034214489,2027-02-03,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,645983.20
RATN27040214508,2027-02-09,RTGS-CR-RATN27040214508-RAZORPAY SOFTWARE,25958.38
RATN27041214536,2027-02-10,CHG:NEFT OUTWARD RATN27041214536,-4504.11
RATN27041214572,2027-02-10,RTGS-CR-RATN27041214572-RAZORPAY SOFTWARE PRIVATE LIMITED,351016.00
RATN27050214591,2027-02-19,RTGS-CR-RATN27050214591-RAZORPAY SOFTWARE,509183.62
RATN27056214627,2027-02-25,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE-ACME RETAIL PRIVATE LIMITED-RATN27056214627,372974.53
RATN27057214662,2027-02-26,NEFT RET RATN******** - ACCOUNT CLOSED,-6441.76
,2027-03-03,NEFT-CR-RATN0000088-RAZORP,707351.05
RATN27069214687,2027-03-10,RTGS-CR-RATN27069214687-RAZO,473361.58
RATN27077214695,2027-03-18,RTGS-CR-RATN27077214695-RAZORPAY SOFTWARE PRIVATE LIMITED,524256.79
RATN27078214717,2027-03-19,NEFT-CR-RATN0000088-SIXFOLD TRADING-ACME RETAIL PRIVATE LIMITED-RATN27078214717,31111.49
RATN27083214754,2027-03-24,IMPS/RATN27083214754/RAZORPAY SOFTWARE PRIVATE LIMITED,543704.60
