settlement_id,reported_reference,reported_amount,initiated_at,status
setl_FKqCFbaFekOK7M,RATN27008214512,47741.07,2027-01-06,processed
setl_z7ifCqFfh5dDhd,RATN27015214484,612107.04,2027-01-13,processed
setl_TimpaQMEACnAsz,RATN27023214378,329483.38,2027-01-20,processed
setl_zjME5dEuUmUHhG,RATN27027214442,586069.64,2027-01-27,processed
setl_HljMI1O11hOGa7,RATN27034214489,645983.20,2027-02-03,processed
setl_i1caZ22fDHn9XV,RATN27041214572,351016.00,2027-02-10,processed
setl_IIFiqJSSU9vRwY,RATN27049214632,509183.62,2027-02-17,processed
setl_VUNudBw1w2pRcs,RATN27056214627,372974.53,2027-02-24,processed
setl_6X3kWShIS0TRJO,RATN27063214543,707351.05,2027-03-03,processed
setl_81txyPuOyTQbvK,RATN27069214687,473361.58,2027-03-10,processed
setl_niJV1HEgwsr9BX,RATN27077214695,524256.79,2027-03-17,processed
setl_teogcC60YcqU0Z,RATN27084214720,543704.60,2027-03-24,processed
