bank_reference,value_date,narration,amount
RATN27007489377,2027-01-07,IMPS/RATN27007489377/RAZORPAYSOFTWAREP,48502.63
RATN27011489381,2027-01-11,RTGS-CR-RATN27011489381-CLOVERLEAF FOODS PVT LTD,15552.03
RATN27013489399,2027-01-13,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,1024375.75
RATN27021489429,2027-01-21,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD,1033926.11
RATN27026489449,2027-01-26,NEFT RET RATN27026489449 - ACCOUNT CLOSED,-728.65
RATN27028489488,2027-01-28,RTGS-CR-RATN27028489488-RAZORPAY SOFTWARE,702088.39
RATN27034489502,2027-02-03,RTGS-CR-RATN27034489502-RAZORPAY SOFTWARE,495251.56
RATN27041489534,2027-02-10,RTGS-CR-RATN27041489534-RAZORPAYSOFTWAREP,370663.45
RATN27047489559,2027-02-16,NEFT-CR-RATN0000088-VERTEX SUPPLY CO-ACME RETAIL PRIVATE LIMITED-RATN27047489559,13768.63
RATN27048489592,2027-02-17,NEFT CR RATN27048489592 RAZORPAY SOFTWARE PRIVATE LIMITED,639972.90
RATN27053489611,2027-02-22,NEFT-CR-RATN0000088-CLG,-6945.61
RATN27054489631,2027-02-23,RTGS-CR-RATN27054489631-RAZORPAY SOFTWARE PVT LTD,32431.85
RATN27055489663,2027-02-24,RTGS-CR-RATN27055489663-RAZORPAYSOFTWAREP,818024.33
,2027-03-01,NEFT-DR-RATN0000088-SIXFOLD TRADING-RATN********,-818024.33
RATN27064489701,2027-03-05,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE,499945.50
RATN27069489729,2027-03-10,NEFT-CR-RATN0000088-RAZORPAYSOFTWAREP,608164.01
RATN27076489757,2027-03-17,NEFT-CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL PRIVATE LIMITED-RATN27076489757,613489.82
RATN27081489782,2027-03-22,NEFT CR RATN27081489782 CLOVERLEAF FOODS PVT LTD,39280.63
RATN27082489790,2027-03-23,NEFT-DR-RATN0000088-CLOVERLEAF FOODS PVT LTD-RATN27082489790,-4930.58
RATN27083489818,2027-03-24,RTGS-CR-RATN27083489818-RAZORPAY SOFTWARE,1098717.31
