settlement_id,reported_reference,reported_amount,initiated_at,status
setl_DAVR3nHu153Igj,RATN27007489377,48502.63,2027-01-06,processed
setl_TeujdIGOfwhjTy,RATN27013489399,1024375.75,2027-01-13,processed
setl_NovfVan7IjJaWH,RATN27021489429,1033926.11,2027-01-20,processed
setl_uTwyTcZGs4gBoe,RATN27028489488,702088.39,2027-01-27,processed
setl_H6w4THt1vskuS2,RATN27034489502,494606.39,2027-02-03,processed
setl_rQT6dXpae9GUab,RATN27041489534,370663.45,2027-02-10,processed
setl_gnkYdwApioXb5C,RATN27048489592,639972.90,2027-02-17,processed
setl_Y9btJXGs2Qabio,RATN27055489663,818024.33,2027-02-24,processed
setl_ITFEaSRxzqaf0x,RATN27064489701,499945.50,2027-03-03,processed
setl_NDJslAnYzkN967,RATN27069489729,608164.01,2027-03-10,processed
setl_Xk90WA9qHRHj4E,RATN27076489757,613489.82,2027-03-17,processed
setl_raX32IqbNvpON9,RATN27083489818,1098717.31,2027-03-24,processed
